event_id,session_id,user_id,event_timestamp,event_name,page_path,value
E00000001,S0000001,U010477,2025-01-01 07:47:57,page_view,/category/sneakers,0.0
E00000002,S0000001,U010477,2025-01-01 07:48:06,page_view,/contact,0.0
E00000003,S0000001,U010477,2025-01-01 07:48:15,page_view,/product/nike-air-max,0.0
E00000004,S0000001,U010477,2025-01-01 07:48:24,page_view,/cart,0.0
E00000005,S0000001,U010477,2025-01-01 07:48:33,page_view,/,0.0
E00000006,S0000001,U010477,2025-01-01 07:48:42,page_view,/product/nike-air-max,0.0
E00000007,S0000001,U010477,2025-01-01 07:48:24,add_to_cart,/cart,81.05
E00000008,S0000002,U000521,2025-01-01 14:41:44,page_view,/category/sneakers,0.0
E00000009,S0000003,U003612,2025-01-01 07:27:21,page_view,/,0.0
E00000010,S0000003,U003612,2025-01-01 07:27:44,page_view,/account,0.0
E00000011,S0000003,U003612,2025-01-01 07:28:07,page_view,/product/adidas-ultraboost,0.0
E00000012,S0000003,U003612,2025-01-01 07:28:31,page_view,/,0.0
E00000013,S0000003,U003612,2025-01-01 07:28:54,page_view,/,0.0
E00000014,S0000004,U003528,2025-01-01 11:38:16,page_view,/,0.0
E00000015,S0000004,U003528,2025-01-01 11:39:00,page_view,/category/sneakers,0.0
E00000016,S0000004,U003528,2025-01-01 11:39:44,page_view,/blog/shoe-care,0.0
E00000017,S0000004,U003528,2025-01-01 11:40:28,page_view,/,0.0
E00000018,S0000004,U003528,2025-01-01 11:41:12,page_view,/category/running,0.0
E00000019,S0000005,U011956,2025-01-01 19:40:39,page_view,/,0.0
E00000020,S0000005,U011956,2025-01-01 19:40:54,page_view,/,0.0
E00000021,S0000005,U011956,2025-01-01 19:41:09,page_view,/cart,0.0
E00000022,S0000006,U005926,2025-01-01 20:05:54,page_view,/contact,0.0
E00000023,S0000006,U005926,2025-01-01 20:06:42,page_view,/account,0.0
E00000024,S0000007,U006228,2025-01-01 15:17:44,page_view,/,0.0
E00000025,S0000008,U009981,2025-01-01 09:59:40,page_view,/category/sneakers,0.0
E00000026,S0000008,U009981,2025-01-01 09:59:50,page_view,/product/nike-air-max,0.0
E00000027,S0000008,U009981,2025-01-01 10:00:00,page_view,/,0.0
E00000028,S0000008,U009981,2025-01-01 10:00:10,page_view,/product/nike-air-max,0.0
E00000029,S0000009,U003599,2025-01-01 11:20:25,page_view,/,0.0
E00000030,S0000009,U003599,2025-01-01 11:21:23,page_view,/category/sneakers,0.0
E00000031,S0000009,U003599,2025-01-01 11:22:21,page_view,/,0.0
E00000032,S0000009,U003599,2025-01-01 11:23:20,page_view,/category/running,0.0
E00000033,S0000009,U003599,2025-01-01 11:24:18,page_view,/blog/running-tips,0.0
E00000034,S0000009,U003599,2025-01-01 11:21:52,view_item,/product/nike-air-max,0.0
E00000035,S0000009,U003599,2025-01-01 11:22:51,add_to_cart,/cart,190.59
E00000036,S0000010,U014961,2025-01-01 14:58:41,page_view,/,0.0
E00000037,S0000011,U002288,2025-01-01 10:25:23,page_view,/product/nike-air-max,0.0
E00000038,S0000012,U008349,2025-01-01 18:43:27,page_view,/category/running,0.0
E00000039,S0000013,U006253,2025-01-01 09:43:46,page_view,/,0.0
E00000040,S0000013,U006253,2025-01-01 09:43:55,page_view,/,0.0
E00000041,S0000013,U006253,2025-01-01 09:44:04,page_view,/,0.0
E00000042,S0000013,U006253,2025-01-01 09:44:14,page_view,/blog/shoe-care,0.0
E00000043,S0000013,U006253,2025-01-01 09:44:23,page_view,/checkout,0.0
E00000044,S0000013,U006253,2025-01-01 09:44:00,view_item,/product/nike-air-max,0.0
E00000045,S0000013,U006253,2025-01-01 09:44:09,add_to_cart,/cart,129.16
E00000046,S0000014,U014497,2025-01-01 21:29:00,page_view,/blog/shoe-care,0.0
E00000047,S0000014,U014497,2025-01-01 21:29:23,page_view,/,0.0
E00000048,S0000014,U014497,2025-01-01 21:29:47,page_view,/category/running,0.0
E00000049,S0000014,U014497,2025-01-01 21:30:10,page_view,/category/sneakers,0.0
E00000050,S0000014,U014497,2025-01-01 21:30:34,page_view,/blog/running-tips,0.0
E00000051,S0000014,U014497,2025-01-01 21:30:57,page_view,/,0.0
E00000052,S0000014,U014497,2025-01-01 21:29:42,view_item,/product/adidas-ultraboost,0.0
E00000053,S0000015,U014350,2025-01-01 02:40:19,page_view,/,0.0
E00000054,S0000015,U014350,2025-01-01 02:40:42,page_view,/blog/running-tips,0.0
E00000055,S0000015,U014350,2025-01-01 02:41:05,page_view,/category/sneakers,0.0
E00000056,S0000015,U014350,2025-01-01 02:41:29,page_view,/product/adidas-ultraboost,0.0
E00000057,S0000015,U014350,2025-01-01 02:41:52,page_view,/category/sneakers,0.0
E00000058,S0000015,U014350,2025-01-01 02:42:15,page_view,/,0.0
E00000059,S0000016,U009978,2025-01-01 10:58:00,page_view,/product/adidas-ultraboost,0.0
E00000060,S0000017,U008006,2025-01-01 11:03:15,page_view,/product/puma-suede,0.0
E00000061,S0000018,U001291,2025-01-01 14:08:42,page_view,/account,0.0
E00000062,S0000019,U009008,2025-01-01 23:48:46,page_view,/blog/shoe-care,0.0
E00000063,S0000020,U011681,2025-01-01 16:07:15,page_view,/category/sneakers,0.0
E00000064,S0000020,U011681,2025-01-01 16:07:47,page_view,/,0.0
E00000065,S0000020,U011681,2025-01-01 16:08:19,page_view,/category/running,0.0
E00000066,S0000020,U011681,2025-01-01 16:07:44,view_item,/product/nike-air-max,0.0
E00000067,S0000020,U011681,2025-01-01 16:08:03,add_to_cart,/cart,174.63
E00000068,S0000021,U000345,2025-01-01 18:14:04,page_view,/category/running,0.0
E00000069,S0000021,U000345,2025-01-01 18:14:34,page_view,/product/nike-air-max,0.0
E00000070,S0000021,U000345,2025-01-01 18:15:05,page_view,/category/sneakers,0.0
E00000071,S0000021,U000345,2025-01-01 18:15:36,page_view,/cart,0.0
E00000072,S0000022,U014085,2025-01-01 15:46:59,page_view,/category/running,0.0
E00000073,S0000022,U014085,2025-01-01 15:47:23,page_view,/category/boots,0.0
E00000074,S0000022,U014085,2025-01-01 15:47:48,page_view,/cart,0.0
E00000075,S0000022,U014085,2025-01-01 15:48:12,page_view,/,0.0
E00000076,S0000022,U014085,2025-01-01 15:47:48,add_to_cart,/cart,191.34
E00000077,S0000023,U009441,2025-01-01 07:27:22,page_view,/account,0.0
E00000078,S0000023,U009441,2025-01-01 07:28:49,page_view,/,0.0
E00000079,S0000024,U014154,2025-01-01 13:21:51,page_view,/blog/running-tips,0.0
E00000080,S0000025,U003140,2025-01-01 11:59:04,page_view,/category/sneakers,0.0
E00000081,S0000026,U014113,2025-01-01 17:05:59,page_view,/,0.0
E00000082,S0000027,U003873,2025-01-01 13:24:00,page_view,/category/boots,0.0
E00000083,S0000027,U003873,2025-01-01 13:24:49,page_view,/,0.0
